"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Epoch","Step","Test action ppl","Test loss","Test ppl","Test word ppl","Valid action ppl","Valid loss","Valid ppl","Valid word ppl","architecture","data","fold","lang","total_epoch","traversal","model_path"
"toasty-dawn-443","finished","-","kuribayashi4","","2023-06-07T22:44:09.000Z","313","","11","11","1.189539660460994","79067.69561386108","2.239613061219378","8.660998153567046","1.1866916320430114","78594.1940536499","2.2321489901999745","8.635082180949153","RNNG","less_marked","20000","001100","10","top_down",""
"copper-elevator-442","finished","-","kuribayashi4","","2023-06-07T22:43:08.000Z","1580","","11","11","1.0418813400645115","78765.83517479897","1.857530165194805","6.990295346728659","1.0435593338282096","77841.04283332825","1.855690951440908","6.987429572733894","RNNG","basic","0","1011011","10","in_order",""
"gallant-shadow-441","finished","-","kuribayashi4","","2023-06-07T22:38:44.000Z","310","","11","11","1.2153164757988548","78483.86078071594","2.2263186210862083","8.119949178035709","1.2109293475779557","78124.12138557434","2.2214547046075697","8.145391015716553","RNNG","less_marked","20000","001011","10","top_down",""
"skilled-planet-440","finished","-","kuribayashi4","","2023-06-07T22:34:44.000Z","572","","11","11","1.1556932700488722","78219.17199325562","1.8601351702770976","5.4275500331469395","1.1584646112961747","82321.27734565735","1.8688140721013908","5.465763984243371","RNNG","basic","20000","0001101","10","top_down",""
"treasured-meadow-439","finished","-","kuribayashi4","","2023-06-07T22:33:20.000Z","308","","11","11","1.2250089485575295","78794.16696548462","2.2333747145242775","8.062891621892966","1.2214618867993872","78337.9597454071","2.2263132202372766","8.050793990471657","RNNG","less_marked","20000","001010","10","top_down",""
"sparkling-lion-438","finished","-","kuribayashi4","","2023-06-07T22:27:58.000Z","308","","11","11","1.1705774525447117","79101.33349609375","2.2403814400305295","8.973318149177523","1.1673689149851123","78520.93140792847","2.2304788639831603","8.923029690600407","RNNG","less_marked","20000","001001","10","top_down",""
"pretty-wildflower-437","finished","-","kuribayashi4","","2023-06-07T22:24:43.000Z","566","","11","11","1.1215734666467885","78882.17099571228","1.86994662012408","5.906239821908475","1.1239299531215643","83069.27476119995","1.8794623574781475","5.958718882653122","RNNG","basic","20000","0001011","10","top_down",""
"spring-wave-436","finished","-","kuribayashi4","","2023-06-07T22:22:31.000Z","310","","11","11","1.1872624185380591","78740.00711631775","2.232141557533807","8.60584284370516","1.184498155402985","78274.18668174744","2.224863153092943","8.580779274386966","RNNG","less_marked","20000","001000","10","top_down",""
"autumn-night-435","finished","-","kuribayashi4","","2023-06-07T22:17:06.000Z","1617","","11","11","1.026501743949708","78495.02184855938","1.853579500186197","7.182151294742571","1.0279997878894516","77526.99897941947","1.8510680471729828","7.174082884928074","RNNG","basic","0","0011010","10","in_order",""
"exalted-meadow-434","finished","-","kuribayashi4","","2023-06-07T22:17:03.000Z","312","","11","11","1.2168353393334952","78920.52499961853","2.2362543899786247","8.212238552936354","1.212444324944126","78438.52186012268","2.2286017144511265","8.20599643097608","RNNG","less_marked","20000","000111","10","top_down",""
"clear-cosmos-433","finished","-","kuribayashi4","","2023-06-07T22:16:21.000Z","1579","","11","11","1.0267379772944962","76263.0208992362","1.82133710700374","6.775441739993274","1.028252118381964","75194.66099780798","1.8170931652509072","6.744422668592293","RNNG","basic","0","1011010","10","in_order",""
"graceful-brook-432","finished","-","kuribayashi4","","2023-06-07T22:14:43.000Z","567","","11","11","1.129723139801602","78348.88951301575","1.8620507473023944","5.731448252654649","1.1322808292944986","82420.32534980774","1.8702206194093056","5.767568962045222","RNNG","basic","20000","0001001","10","top_down",""
"different-firefly-431","finished","-","kuribayashi4","","2023-06-07T22:11:42.000Z","308","","11","11","1.2251471366901432","80744.41708183289","2.2782365385132843","8.57997631149142","1.221732897753396","80328.74743270874","2.2720579754722907","8.57788112556959","RNNG","less_marked","20000","000110","10","top_down",""
"upbeat-sponge-430","finished","-","kuribayashi4","","2023-06-07T22:06:16.000Z","310","","11","11","1.1670962174787736","78910.18496704102","2.2360186031886244","8.975566765475993","1.16382300732786","78318.69193649292","2.2258750106346747","8.923240289455498","RNNG","less_marked","20000","000101","10","top_down",""
"zany-feather-429","finished","-","kuribayashi4","","2023-06-07T22:04:43.000Z","566","","11","11","1.1229053575725676","78732.45299339294","1.8677264909238376","5.86779173476447","1.1252901249431218","82783.12794017792","1.8753817032115143","5.900810989404757","RNNG","basic","20000","0000111","10","top_down",""
"dutiful-smoke-428","finished","-","kuribayashi4","","2023-06-07T22:00:39.000Z","322","","11","11","1.1888340161210225","78516.07296943665","2.227050060130447","8.52027585560918","1.185956949486562","78020.10083770752","2.2190951399151726","8.488690010565403","RNNG","less_marked","20000","000100","10","top_down",""
"summer-mountain-427","finished","-","kuribayashi4","","2023-06-07T21:55:01.000Z","322","","11","11","1.2159541795261768","78537.98589706421","2.2275477721876316","8.124907424515133","1.2115554743595252","78013.06861495972","2.2189357139777353","8.107432842250644","RNNG","less_marked","20000","000011","10","top_down",""
"bumbling-universe-426","finished","-","kuribayashi4","","2023-06-07T21:54:41.000Z","571","","11","11","1.1557978389943484","78373.55055236816","1.862415147275812","5.448090929242667","1.158331287167954","82340.91720581055","1.869092887026597","5.469822578180506","RNNG","basic","20000","0000101","10","top_down",""
"volcanic-night-425","finished","-","kuribayashi4","","2023-06-07T21:49:29.000Z","1614","","11","11","1.019665578407306","79566.09476834536","1.8692537443123864","7.49798746414104","1.0199441025036455","78505.6065889597","1.8655118099561072","7.4952653154205535","RNNG","basic","0","0011001","10","in_order",""
"ethereal-lion-424","finished","-","kuribayashi4","","2023-06-07T21:49:23.000Z","323","","11","11","1.225698579880767","78570.80296134949","2.2282933597929655","7.99584862859852","1.2224611207933505","78056.19070625305","2.2199135054478076","7.964361414353658","RNNG","less_marked","20000","000010","10","top_down",""
"expert-universe-423","finished","-","kuribayashi4","","2023-06-07T21:49:23.000Z","1591","","11","11","1.0195814473606502","80711.39926171303","1.8861609752520792","7.725029817921153","1.020012507563482","79706.31650179625","1.8833877581307703","7.733953455353023","RNNG","basic","0","1011001","10","in_order",""
"fresh-fire-422","finished","-","kuribayashi4","","2023-06-07T21:44:57.000Z","554","","11","11","1.1152106355969484","78808.37366390228","1.868851969125184","5.970953925432058","1.11743586523149","82873.3162612915","1.8766668948201697","6.007635539691204","RNNG","basic","20000","0000011","10","top_down",""
"giddy-dream-421","finished","-","kuribayashi4","","2023-06-07T21:43:45.000Z","326","","11","11","1.1720545084580087","79552.77961158752","2.2507192179949853","9.079366402628484","1.1687181184354405","79106.584400177","2.243864667312433","9.069868367196833","RNNG","less_marked","20000","000001","10","top_down",""
"spring-sun-420","finished","-","kuribayashi4","","2023-06-07T21:37:38.000Z","352","","11","11","1.1891297709905035","79068.5023021698","2.2396314850441383","8.667604700492669","1.186565201827601","78519.80787086487","2.2304532610888987","8.61645774930503","RNNG","less_marked","20000","000000","10","top_down",""
"swift-elevator-419","finished","-","kuribayashi4","","2023-06-07T21:35:22.000Z","540","","11","11","1.1297497553475309","78307.94923782349","1.8614459571826647","5.725097095279483","1.1322548728097677","82434.93523979187","1.870428179103037","5.76994265419012","RNNG","basic","20000","0000001","10","top_down",""
"faithful-snowball-416","finished","-","kuribayashi4","","2023-06-07T20:58:38.000Z","1564","","11","11","1.0183028437849897","78622.06494247913","1.8554317763142876","7.339473836715793","1.0196723931871237","77504.88767105341","1.850742990442636","7.305513052668427","RNNG","basic","0","0011000","10","in_order",""
"olive-tree-415","finished","-","kuribayashi4","","2023-06-07T20:58:26.000Z","1616","","11","11","1.01776061734316","77500.07293659449","1.83913704298086","7.138119446458111","1.0188422825851555","76534.26250380278","1.8365300097309387","7.135189574343883","RNNG","basic","0","1011000","10","in_order",""
"autumn-monkey-414","finished","-","kuribayashi4","","2023-06-07T20:32:12.000Z","1561","","11","11","1.053944232567924","78488.61317968369","1.853486111416109","6.7596001134018335","1.055742291100121","77532.77136564255","1.8511529159987503","6.748296095258277","RNNG","basic","0","0010111","10","in_order",""
"sunny-fog-413","finished","-","kuribayashi4","","2023-06-07T20:30:52.000Z","1605","","11","11","1.054216522205581","78867.79067969322","1.8590196880432568","6.822222217661431","1.056160959563844","77916.93685746193","1.856809885786144","6.810436254072927","RNNG","basic","0","1010111","10","in_order",""
"avid-pyramid-412","finished","-","kuribayashi4","","2023-06-07T20:05:43.000Z","1563","","11","11","1.048715715848999","78828.4821472168","1.858445267107235","6.897497205326351","1.050487779651011","77789.88422560692","1.8549370811853596","6.87250400538752","RNNG","basic","0","0010110","10","in_order",""
"soft-paper-411","finished","-","kuribayashi4","","2023-06-07T20:03:19.000Z","1611","","11","11","1.0494903993640576","76898.85615515709","1.8304645142463016","6.550392768442467","1.0502478574781484","75662.50077533722","1.8238577625317605","6.502835571348433","RNNG","basic","0","1010110","10","in_order",""
"sunny-cosmos-410","finished","-","kuribayashi4","","2023-06-07T19:39:09.000Z","1567","","11","11","1.04512127446676","79203.56164264679","1.86393359604079","7.019804569524305","1.0458775566537857","78196.93818295002","1.860943890886316","7.017024636441252","RNNG","basic","0","0010101","10","in_order",""
"cool-silence-409","finished","-","kuribayashi4","","2023-06-07T19:35:57.000Z","1597","","11","11","1.0452572470597894","78829.78664016724","1.85846432699262","6.950151360607584","1.0458788676402593","77883.83944749832","1.856321835199544","6.959597234081656","RNNG","basic","0","1010101","10","in_order",""
"fiery-star-408","finished","-","kuribayashi4","","2023-06-07T19:11:46.000Z","1617","","11","11","1.0557881287720603","79204.37623596191","1.8639455331513053","6.858455007338964","1.0567577175072478","78160.12570953369","1.8603998578657288","6.845117729969603","RNNG","basic","0","0010100","10","in_order",""
"fine-night-407","finished","-","kuribayashi4","","2023-06-07T19:07:29.000Z","1670","","11","11","1.0570141614134962","76982.195789814","1.8316642393220528","6.45793331907756","1.058289020001144","75977.65755653381","1.828428873454333","6.442642587324663","RNNG","basic","0","1010100","10","in_order",""
"solar-darkness-406","finished","-","kuribayashi4","","2023-06-07T18:44:28.000Z","1613","","11","11","1.0464157809595167","80657.34930181503","1.885359650778338","7.268312039809555","1.0487820634245608","79735.58888530731","1.8838256922567356","7.259574435281761","RNNG","basic","0","0010011","10","in_order",""
"cosmic-snow-405","finished","-","kuribayashi4","","2023-06-07T18:39:03.000Z","1660","","11","11","1.0448776464726015","79364.55171513557","1.866294242483898","7.052882172536268","1.0462329614006618","78330.18690299988","1.8629144371340156","7.036091023701004","RNNG","basic","0","1010011","10","in_order",""
"dark-sunset-404","finished","-","kuribayashi4","","2023-06-07T18:17:10.000Z","1613","","11","11","1.044529592305241","79300.94873344898","1.865361255552875","7.046660584941856","1.0452217620359168","78152.62503635883","1.860289028697016","7.019004226088623","RNNG","basic","0","0010010","10","in_order",""
"toasty-planet-403","finished","-","kuribayashi4","","2023-06-07T18:10:15.000Z","1680","","11","11","1.0403774809555704","77367.13282799721","1.8372158555650409","6.764127643104134","1.0420247408464731","76280.82528066635","1.832836902891621","6.729944312386557","RNNG","basic","0","1010010","10","in_order",""
"hearty-tree-402","finished","-","kuribayashi4","","2023-06-07T17:49:52.000Z","1612","","11","11","1.021682819974748","79453.5415019393","1.8676004096412244","7.4423880646903475","1.0222237515911046","78494.01919966936","1.8653401282233515","7.454553800497345","RNNG","basic","0","0010001","10","in_order",""
"avid-oath-401","finished","-","kuribayashi4","","2023-06-07T17:41:45.000Z","1662","","11","11","1.0214080813738349","78547.88969624043","1.854350083591434","7.274454188479908","1.0219272383661988","77605.42604798079","1.8522214582264485","7.28763611445707","RNNG","basic","0","1010001","10","in_order",""
"eager-meadow-400","finished","-","kuribayashi4","","2023-06-07T17:22:27.000Z","1615","","11","11","1.034431077231707","80048.47553309798","1.876356200459185","7.346085323304146","1.0356785686585497","79039.0144225955","1.873432046642577","7.337546618660657","RNNG","basic","0","0010000","10","in_order",""
"splendid-thunder-399","finished","-","kuribayashi4","","2023-06-07T17:12:58.000Z","1672","","11","11","1.0332364421987683","76429.2794546485","1.823719342818782","6.70696611933053","1.0343389674957433","75372.16006314754","1.819656704120886","6.684411678316094","RNNG","basic","0","1010000","10","in_order",""
"ruby-haze-398","finished","-","kuribayashi4","","2023-06-07T16:55:14.000Z","1607","","11","11","1.0511305246154716","78477.35178422928","1.8533220188652368","6.799162029265136","1.052234156816877","77356.23651409149","1.8485591619660688","6.768807039738102","RNNG","basic","0","0001111","10","in_order",""
"jolly-puddle-397","finished","-","kuribayashi4","","2023-06-07T16:44:19.000Z","1669","","11","11","1.0911555894716112","79282.7858915329","1.8650949119354268","6.372493888742982","1.0923190279716235","78086.09858989716","1.859306329752917","6.330366443163857","RNNG","basic","0","1001111","10","in_order",""
"laced-bee-396","finished","-","kuribayashi4","","2023-06-07T16:27:58.000Z","1611","","11","11","1.036617977216605","79629.52416163683","1.8701861258231935","7.231772516898484","1.037625386531673","78583.53801864386","1.8666668725882765","7.219087085694571","RNNG","basic","0","0001110","10","in_order",""
"comic-sunset-395","finished","-","kuribayashi4","","2023-06-07T16:16:05.000Z","1653","","11","11","1.0750290199178638","76475.54825115204","1.82438285934664","6.13164476698778","1.075889377731095","75402.85011959076","1.8201003133300937","6.109626348055162","RNNG","basic","0","1001110","10","in_order",""
"sage-spaceship-394","finished","-","kuribayashi4","","2023-06-07T16:00:41.000Z","1612","","11","11","1.0427830931586477","78975.21422028542","1.860590388616809","7.014356160896928","1.0431623947871325","77900.64796304703","1.856569675596184","7.004500827311936","RNNG","basic","0","0001101","10","in_order",""
"light-sea-393","finished","-","kuribayashi4","","2023-06-07T15:48:00.000Z","1642","","11","11","1.0815029862522283","79048.1151046753","1.8616570696610175","6.4642242103677985","1.0816417066496675","77933.17898082733","1.857049437195162","6.449301278850536","RNNG","basic","0","1001101","10","in_order",""
"charmed-hill-392","finished","-","kuribayashi4","","2023-06-07T15:33:19.000Z","1615","","11","11","1.0607445588363889","78794.58870315552","1.857950120096242","6.71364304125711","1.0605746360820851","77852.23061656952","1.8558558547844497","6.733889183915186","RNNG","basic","0","0001100","10","in_order",""
"cosmic-grass-391","finished","-","kuribayashi4","","2023-06-07T15:19:38.000Z","1663","","11","11","1.0752930467429491","76388.91155052185","1.8231406450094316","6.114468928684217","1.0761547219676877","75376.00539779663","1.8197122805587136","6.101857842795832","RNNG","basic","0","1001100","10","in_order",""
"brisk-oath-390","finished","-","kuribayashi4","","2023-06-07T15:06:07.000Z","1607","","11","11","1.0415873560533098","78728.2755241394","1.856981736909324","6.988021939446538","1.0432060049940317","77678.86722445488","1.8533021943777368","6.963190313772438","RNNG","basic","0","0001011","10","in_order",""
"winter-field-389","finished","-","kuribayashi4","","2023-06-07T14:51:26.000Z","1651","","11","11","1.0816427946513","79161.06077671051","1.8633108912513616","6.481227429460163","1.0832247877880188","78100.00394916534","1.8595116905856677","6.455807371598854","RNNG","basic","0","1001011","10","in_order",""
"prime-violet-388","finished","-","kuribayashi4","","2023-06-07T14:39:33.000Z","1568","","11","11","1.026587469957364","79307.6857804954","1.865460058654819","7.333407825562254","1.0281662678116787","78125.5106537044","1.859888444461568","7.284910417697936","RNNG","basic","0","0001010","10","in_order",""
"dry-violet-387","finished","-","kuribayashi4","","2023-06-07T14:23:40.000Z","1621","","11","11","1.0632216456835557","75866.25591564178","1.815664626096761","6.19044329667265","1.0643391635887258","74775.38789844513","1.8110521247957805","6.161154547484993","RNNG","basic","0","1001010","10","in_order",""
"divine-dawn-386","finished","-","kuribayashi4","","2023-06-07T14:13:01.000Z","1565","","11","11","1.0200136107093318","79043.20422452688","1.8615851947729631","7.391416632976359","1.0202600946722795","77938.38472640514","1.857126222100768","7.379277888993525","RNNG","basic","0","0001001","10","in_order",""
"devoted-dragon-385","finished","-","kuribayashi4","","2023-06-07T13:56:02.000Z","1616","","11","11","1.0570831703448604","76691.19905948639","1.8274785804494056","6.40851999464481","1.057302728553236","75627.77523803711","1.8233547943382076","6.397495323245188","RNNG","basic","0","1001001","10","in_order",""
"fragrant-yogurt-384","finished","-","kuribayashi4","","2023-06-07T13:46:15.000Z","1578","","11","11","1.0375353536476395","78870.45962238312","1.8590586961021716","7.076724606143533","1.0373377475426109","77788.15907001495","1.854911664731914","7.07451352373943","RNNG","basic","0","0001000","10","in_order",""
"crisp-snowball-383","finished","-","kuribayashi4","","2023-06-07T13:28:27.000Z","1616","","11","11","1.0519548119919555","76390.70400047302","1.823166336944601","6.430148613256422","1.0526036486980854","75356.52110433578","1.819430692485693","6.41763383886212","RNNG","basic","0","1001000","10","in_order",""
"exalted-aardvark-382","finished","-","kuribayashi4","","2023-06-07T13:19:21.000Z","1582","","11","11","1.0539889454576978","79107.82092809677","1.8625311369247992","6.868133453339547","1.0562625577992828","78080.38731598854","1.8592219895660884","6.838190016680245","RNNG","basic","0","0000111","10","in_order",""
