lang,traversal,Test ppl
1100001,top_down,2.8191990591055327
0101101,in_order,2.8628300010464436
0101101,top_down,2.787020573263524
1010101,in_order,2.847430142899917
1010101,top_down,2.6815170265062123
0011001,top_down,2.7254881935713953
0011001,in_order,2.856534999604456
0100101,in_order,2.8580669330857207
0100101,top_down,2.7734166854274305
1101001,in_order,2.9530420846644008
1101001,top_down,2.8129560927432404
0010001,in_order,2.838631895143072
1011101,top_down,2.6422397942264575
1011101,in_order,2.844108881412554
0110111,top_down,2.773505153212809
0110111,in_order,2.7273729263925572
1111011,in_order,2.8810997810920393
1111011,top_down,2.8279172479384993
0000011,in_order,2.8305307487835547
1001111,in_order,2.7216754702627
1010011,in_order,2.814439217464817
0011111,in_order,2.7117646302622522
0011111,top_down,2.6737192558301026
1100111,top_down,2.718604390104246
1100111,in_order,2.7246630810949344
0101011,top_down,2.8782354185060135
1000001,in_order,2.8120323931596
0001101,in_order,2.8449743973690818
1110101,top_down,2.7682448153048616
1110101,in_order,2.8751648397933924
0111001,top_down,2.8292989397952137
0111001,in_order,2.9170617120618716
0000101,in_order,2.867942723661166
1001001,in_order,2.8236444500396876
0110001,in_order,2.8844460621911585
0110001,top_down,2.8170398876522085
1111101,top_down,2.763588755999336
1111101,in_order,2.8627365772572446
0010111,in_order,2.683039238612894
0010111,top_down,2.662532465397724
1011011,top_down,2.7013291611714543
1011011,in_order,2.8530073985441997
0100011,top_down,2.842750577666968
0100011,in_order,2.780790785501337
1101111,in_order,2.737574174061406
1101111,top_down,2.7437666983152402
1101011,in_order,2.8492482761811426
1101011,top_down,2.805454790224455
0100111,in_order,2.6824661601192545
0100111,top_down,2.7500541484380028
1011111,in_order,2.7545260898518285
1011111,top_down,2.6149034252219363
0010011,in_order,2.7824777688651734
1111001,top_down,2.8411991387087565
1111001,in_order,2.9437027613781663
0110101,in_order,2.837759944955962
0110101,top_down,2.7943537440050776
1001101,in_order,2.8016914572096354
0000001,in_order,2.8553952751199336
0111101,in_order,2.8945645855361466
0111101,top_down,2.7767905543998888
1110001,in_order,2.9272196187227184
1110001,top_down,2.8388185339757035
0001001,in_order,2.9047969645352043
1000101,in_order,2.7852027731811657
0101111,top_down,2.7824261377431068
0101111,in_order,2.6736318123431047
1100011,in_order,2.811532422195546
1100011,top_down,2.833897249547709
0011011,top_down,2.744010484774996
0011011,in_order,2.78056167181231
1010111,top_down,2.6206220223621135
1010111,in_order,2.7300297274722074
1011100,in_order,2.836622685978262
1011100,top_down,2.7029610657019423
0010000,in_order,2.8580533548131437
1101000,top_down,2.854356475770189
1101000,in_order,2.9552040876920196
0100100,in_order,2.98166047319357
0100100,top_down,2.841556563130988
1001110,in_order,2.7523343086226477
0000010,in_order,2.840400659453015
1111010,top_down,2.8663016955201446
1111010,in_order,2.8853355109434653
0110110,top_down,2.8022896912495865
0110110,in_order,2.735255985371808
0001010,in_order,2.8820215632442987
1000110,in_order,2.71273206451309
0111110,in_order,2.7586922607932562
0111110,top_down,2.8000300121094073
1110010,in_order,2.836619283183842
1110010,top_down,2.855789737892163
0011000,top_down,2.7315168576370614
0011000,in_order,2.8826264864645053
1010100,in_order,2.8101144264329356
0101100,top_down,2.8576327191687207
0101100,in_order,2.974946528036941
1100000,top_down,2.8550109942619972
1100000,in_order,2.9341218815332484
1100100,in_order,2.8947052957839365
1100100,top_down,2.801580835264728
0101000,top_down,2.878081622161474
0101000,in_order,2.987334219960752
1010000,in_order,2.8355995307158968
0011100,top_down,2.675816779709082
0011100,in_order,2.836109949237795
1110110,top_down,2.7626113667078505
1110110,in_order,2.736382029293391
0111010,top_down,2.877251970340222
0111010,in_order,2.8742564559503934
1000010,in_order,2.8094480216522815
0001110,in_order,2.7526270798515395
0110010,in_order,2.8468637523744635
0110010,top_down,2.8830813235745847
1111110,in_order,2.759153058126068
