,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
21,RNNG_top_down_beam,20000,1.0,0.00031713548500689583,0,-313.095591203536,-0.04006294380725063,0.28352997070244185,0.19675830870530658,0.21523788211519662,"RLRLLL, RLLLLL, RLLRLL"
22,RNNG_top_down_beam,40000,1.0,0.000173120414841497,0,-313.0217830180085,-0.02128317175549147,0.29493550492011755,0.20547303464499697,0.24660867452166393,"RLLLLL, RLRLLL, RLLRLL"
23,RNNG_top_down_beam,60000,1.0,0.00010304319356473687,0,-313.0022877751613,-0.012184081166180687,0.26327920084335477,0.2122418486766357,0.2635562416901271,"RLRLLL, RLRRLL, RLLLLL"
24,RNNG_top_down_beam,80000,1.0,0.00027043459311040547,0,-313.05812411470714,-0.031943461184474886,0.24420541660613934,0.19180499175861476,0.2774615563627062,"RLLLLL, RLRLLL, RLLRLL"
25,RNNG_in_order_beam,0,1.0,-0.008518936179504806,0,-314.8474800801114,0.16900802130371034,0.18003003084109218,0.32333568115545624,-0.06071888664187111,"LRRRLL, RRRRRR, RRRLRR"
26,RNNG_in_order_beam,20000,1.0,-0.0028355026723606374,0,-313.920866014018,0.11998587891847577,0.2052971206644496,0.45059411071315564,-0.32752176300134406,"RRRRRR, RRRLRR, RRLRRR"
27,RNNG_in_order_beam,40000,1.0,-0.0027788220604568984,0,-313.39340938614794,0.0789948522514087,0.14844736537519,0.4094451652470238,-0.2354891432587475,"RLRRLR, RRRRRR, RRRLRR"
28,RNNG_in_order_beam,60000,1.0,-0.007448258045636558,0,-314.18357978288145,0.13577232642180373,0.19144087933383738,0.4765586663320305,-0.21316329911685794,"RRRRRR, RRLRRR, RRRLRR"
29,RNNG_in_order_beam,80000,1.0,-3.221246150968008e-05,0,-312.9928631818586,0.001097079235993812,0.13214027422790833,0.2167378486051249,-0.14585917378877872,"RLRLRR, RRRRRR, RRRLRR"
30,SRNNG_top_down_beam,0,1.0,0.0004935271552731721,0,-313.2565317841621,-0.0641291331725039,0.15853977281584575,0.2823026197864662,0.16930666333117533,"RLRLLL, RLRRLL, RLLRLL"
31,SRNNG_top_down_beam,20000,1.0,0.0007481817567193896,0,-313.597208197823,-0.09695173569890506,0.14937612350667598,0.2915771489171103,0.1431926750933707,"RLLLLL, RLRLLL, RLLRLL"
32,SRNNG_top_down_beam,40000,1.0,0.0003941574475080238,0,-313.1417084720552,-0.048210020572057685,0.1239948196414501,0.326242688859007,0.30107732614296767,"RLLLLL, LLLLLL, RLRLLL"
33,SRNNG_top_down_beam,60000,1.0,0.0003202358782148948,0,-313.10525602500235,-0.041902249781959985,0.14092435094081757,0.27535067193132823,0.29108878902703206,"RLLLLL, RLRLLL, LLLLLL"
34,SRNNG_top_down_beam,80000,1.0,0.0005514312134572183,0,-313.3257188685348,-0.07203170367827666,0.12585760406252114,0.2896094208172141,0.22461742245696964,"RLLLLL, RLRLLL, RLRRLL"
35,SRNNG_in_order_beam,0,1.0,-0.0013509550155207928,0,-313.49795161088923,0.08866871321303302,-0.10605293267600968,0.3372157982532909,-0.299819791208008,"RRRRRR, RRRLRR, RRLRRR"
36,SRNNG_in_order_beam,20000,1.0,-0.0008406002612103472,0,-313.23780109751794,0.06181455891583583,-0.11314802632905757,0.37829545073524956,-0.2961547727740117,"RRRRRR, RRRLRR, RRLRRR"
37,SRNNG_in_order_beam,40000,1.0,-0.0010464372368495462,0,-313.18105191419227,0.05419714112282405,-0.14969493033148734,0.40472253018945137,-0.1150073178561935,"RRRRRR, RRRLRR, RRLLRR"
38,SRNNG_in_order_beam,60000,1.0,-0.003176585747504878,0,-314.1162116890687,0.13191041814137738,-0.12223857519907984,0.4168222387607827,-0.15578989189269665,"RRRRRR, LLRLLL, RRRLRR"
39,SRNNG_in_order_beam,80000,1.0,-0.001487311319639472,0,-313.3364204815194,0.07317716540524125,-0.1360978164641239,0.4365638872627945,-0.16284574535953691,"RRLRRR, RRRRRR, RRRLRR"
40,RNNG_top_down_beam,0,2.0,7.350257599252854e-07,0,-313.01170388427914,-0.017191447775161788,0.23703602989653835,0.22296532681601952,0.23719333193457984,"RLRLLL, RLLLLL, RLLRLL"
41,RNNG_top_down_beam,20000,2.0,1.6265462831793244e-06,0,-313.09331902800744,-0.03961809028656134,0.283671196395705,0.19674926651433808,0.21086521517596607,"RLRLLL, RLLLLL, RLLRLL"
42,RNNG_top_down_beam,40000,2.0,8.770886958059258e-07,0,-313.0204684726993,-0.020795257215058253,0.2954510392102643,0.20539222094951753,0.24211434152358402,"RLLLLL, RLRLLL, RLLRLL"
43,RNNG_top_down_beam,60000,2.0,5.346428426949081e-07,0,-313.00230204970717,-0.012193229289568792,0.2640996036191841,0.21245009397118544,0.25964393280622666,"RLRLLL, RLRRLL, RLLLLL"
44,RNNG_top_down_beam,80000,2.0,1.397636151376611e-06,0,-313.05766005216384,-0.031829877595279686,0.24412119190184461,0.19151253185258116,0.2739739729930262,"RLLLLL, RLRLLL, RLLRLL"
45,RNNG_in_order_beam,0,2.0,-4.297586607079439e-05,0,-314.85157052845074,0.16919159830339642,0.18005873013437765,0.32382005425520605,-0.06032204330375088,"LRRRLL, RRRRRR, RRRLRR"
46,RNNG_in_order_beam,20000,2.0,-1.4591247778233015e-05,0,-313.92952012718973,0.12053993500353713,0.20488361796489168,0.4509729169664155,-0.32570493552429375,"RRRRRR, RRRLRR, RRLRRR"
47,RNNG_in_order_beam,40000,2.0,-1.422695876766404e-05,0,-313.40237436831296,0.07987102520573378,0.14844213777765702,0.41028074477833654,-0.23435479637433101,"RLRRLR, RRRRRR, RRRLRR"
48,RNNG_in_order_beam,60000,2.0,-3.756680204837598e-05,0,-314.1870741061608,0.13596953879126839,0.19143741685743884,0.47634578427697294,-0.21239177762980643,"RRRRRR, RRLRRR, RRRLRR"
