,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
311,RNN-action_lc-as,20000,2.0,-0.001533080191569415,0,-313.7704535399445,0.1098978024902579,0.2553486595750841,0.11921528062198763,0.09589439451861288,"LLRRLL, RLRRLL, RLRLRR"
312,RNN-action_lc-as,40000,2.0,-0.0011267544990465242,0,-313.25042402696744,0.06338375151059103,0.20147670912441207,0.12430609641439797,0.03228852472403769,"RLLLRR, RLRRLL, RLLRLL"
313,RNN-action_lc-as,60000,2.0,-0.00233294169528626,0,-314.72564985450424,0.16344028446827066,0.43402351991154536,0.19099753512134401,0.030848748658049027,"RLRRLL, RLLRLL, RLLLLL"
314,RNN-action_lc-as,80000,2.0,-0.0006171794536189713,0,-313.0993960737787,0.04079697756380731,0.16912148819485084,0.15717988278588796,-0.04363363470084658,"RLRRRR, RLLRRR, RLRRLL"
315,3gram,0,2.0,-0.00023194462083899625,0,-313.5875991226045,0.0961815853871122,0.18301301527774694,0.3458527353714013,-0.06679410226013283,"RRRRRR, RRLRRR, LRLRRR"
316,3gram,20000,2.0,-0.00021137991342253456,0,-313.47282157538694,0.08644359159344231,0.17283466783929752,0.33200868351070223,-0.06201752115085302,"RRRRRR, RRLRRR, LRLRRR"
317,3gram,40000,2.0,-0.00019627595214834632,0,-313.4350367758688,0.08298400865205238,0.17382931205099228,0.33231218793546746,-0.056054295354336814,"RRLRRR, RRRRRR, LRLRRR"
318,3gram,60000,2.0,-0.0002021806541970769,0,-313.448289592878,0.0842138567867513,0.17239576303756515,0.3341773007035588,-0.041287190179172206,"RRRRRR, RRLRRR, LRLRRR"
319,3gram,80000,2.0,-0.0001828488551464791,0,-313.36732869718276,0.076388064085997,0.15475030402763804,0.32782136212347757,-0.05256860483950959,"RRLRRR, RRRRRR, LRLRRR"
320,4gram,0,2.0,-0.00018543967897916328,0,-313.4008871227164,0.07972634716381585,0.17827301051398145,0.33407842847647273,-0.07764762820457213,"RRLRRR, RRRRRR, LRLRRR"
321,4gram,20000,2.0,-0.00015335571197952502,0,-313.27164402930964,0.06593690696187238,0.1672327552102386,0.31536466601606206,-0.07199658172417073,"LRRRRR, LRLRRR, RRRRRR"
322,4gram,40000,2.0,-0.0001465453917458807,0,-313.2536208096626,0.06377497761408628,0.17069445849946804,0.3164473989005036,-0.052887875494154024,"LRLRRR, LRRRRR, RRLRRR"
323,4gram,60000,2.0,-0.0001318586391213516,0,-313.20342363769197,0.057321903395640667,0.1513252376318476,0.3196365471570043,-0.04952143106915147,"RRRRRR, LRLRRR, RRLRRR"
324,4gram,80000,2.0,-0.00011992646763874429,0,-313.1714522652424,0.05279928936788889,0.1377237969425062,0.3082789011344706,-0.03991393556740663,"LRLRRR, RRLRRR, LRRRRR"
325,5gram,0,2.0,-0.00015288714932328007,0,-313.27199909384836,0.06597878028121267,0.18286269767765786,0.320551958527867,-0.07270506064296789,"RRLRRR, RRRRRR, LRLRRR"
326,5gram,20000,2.0,-0.00013427523383464918,0,-313.20761522212865,0.057888485724810576,0.1775350145503739,0.30346825545870304,-0.0669804651472504,"LRRRRR, LRLRRR, RRRRRR"
